mailto:athens@plasis.com.gr,PLASIS REAL ESTATE AND DEVELOPMENT,Ακίνητα – Καταστήματα – Γραφεία - Ακίνητα Εισοδήματος - Τουριστικά Ακίνητα - Μελέτες Εκτιμήσεων - Ασφάλιση Ακίνητης Περιουσίας - Χρηματοοικονομικές Μελέτες - Απόκτηση Ακίνητης Περιουσίας - Προβολή Ακινήτων - Πανελλαδική Έρευνα Στην Αγορά Ακινήτων - Ενοικιάσεις Ακινήτων,"Ομήρου 6, Αθήνα - Σύνταγμα, 10564, ΑΤΤΙΚΗΣ",2103224225
mailto:info.athenianproperties@gmail.com,ATHENIAN PROPERTIES - ΚΑΡΑΝΑΣΟΣ ΕΥΑΓΓΕΛΟΣ,Πωλήσεις Οικοπέδων - Ενοικιάσεις & Πωλήσεις Ακινήτων - Real Estate,"Κεφαλληνίας 10, Αθήνα - Κυψέλη, 11361, ΑΤΤΙΚΗΣ","2108847633 , 2108847634"
mailto:central@goldenhome.gr,GOLDEN HOME Α.Ε.,Ψάχνεις Σπίτι - Βρες το στην Golden Home,"Βασιλέως Κωνσταντίνου 44, Αθήνα, 11635, ΑΤΤΙΚΗΣ","2111057900 , 2165003999"
mailto:redhellas@gmail.com,RED HELLAS - ΤΣΟΥΜΑΝΗΣ ΣΠΥΡΟΣ,Μεσίτες - Αγορά – Πώληση - Ενοικίαση Ακινήτων - Ανάθεση Ακινήτων - Εκτίμηση Αξίας Ακινήτου - Διαχείριση Ακινήτων,"Πανόρμου 71-73, Αθήνα - Αμπελόκηποι, 11524, ΑΤΤΙΚΗΣ",2106997683
mailto:drososrealestate@gmail.com,NEOCLASSICAL ESTATES - ΔΡΟΣΟΣ ΧΑΡΑΛΑΜΠΟΣ,Κτηματομεσιτικό Γραφείο - Διαχείριση Ακίνητης Περιουσίας - Αγορές - Πωλήσεις – Ενοικιάσεις – Ανάθεση – Προώθηση Ακινήτων & Επαγγελματικών Ακινήτων – Γραφείων – Παραθαλάσσιες Βίλες - Golden Visa,"Ωρωπού 5-7, Αθήνα - Άνω Πατήσια, 11141, ΑΤΤΙΚΗΣ",2102138910
mailto:info@mesitiko-athens.gr,ΤΣΑΟΥΣΗΣ Α. - ΣΤΑΥΡΟΠΟΥΛΟΣ Κ. Ο.Ε.,Πωλήσεις - Ενοικιάσεις – Εκτιμήσεις Ακινήτων – Έκδοση Ενεργειακών Πιστοποιητικών,"Ηρακλέους 1 & Καλλιρρόης, Αθήνα, 11743, ΑΤΤΙΚΗΣ",2109224657
mailto:info@bgk.gr,ΜΠΟΥΓΙΟΥΚΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,Μεσίτες Ασφαλίσεων,"Βούρβαχη 3, Αθήνα - Νέος Κόσμος, 11743, ΑΤΤΙΚΗΣ",2109248600
mailto:info@glpv.gr,GLP ΔΙΑΧΕΙΡΙΣΗ & ΕΚΤΙΜΗΣΗ ΑΚΙΝΗΤΩΝ Α.Ε.,Εκτιμητές & Διαχειριστές Ακινήτων,"Λ. Κηφισίας 98, Αθήνα - Αμπελόκηποι, 11526, ΑΤΤΙΚΗΣ","2103009000 , 2110121521"
mailto:contact@find.com.gr,FIND REAL ESTATE - ΣΙΑΠΑΤΗΣ - ΒΛΑΧΑΚΗ Ο.Ε.,Μεσίτης Αστικών Συμβάσεων - Ολοκληρωμένες Υπηρεσίες - Real Estate,"Αγίας Αικατερίνης 5, Αθήνα, 11853, ΑΤΤΙΚΗΣ","2114004141 , 2114004242"
mailto:buy2greece@gmail.com,BUY2GREECE,Μεσιτικό Γραφείο Ακινήτων – Ενοικιάσεις & Πωλήσεις Χώρων Κατοικιών & Κτηματομεσιτικά - Συμβουλευτική Ακινήτων,"Λ. Στρατάρχου Παπάγου Αλεξάνδρου 147, Ζωγράφος, 15773, ΑΤΤΙΚΗΣ",2107710150
mailto:gmaginas@gmail.com,ΜΑΓΓΙΝΑΣ ΓΕΩΡΓΙΟΣ,Μεσιτικό Γραφείο - Αγορά Ακινήτων Διαμερισμάτων Ενοικίαση Κατοικιών - Πώληση Οικοπέδων - Πώληση & Ενοικίαση Επαγγελματικών Χώρων - Μονοκατοικία Προς Πώληση,"Κολοκοτρώνη 1, 1ος όροφος , Κηφισιά, 14562, ΑΤΤΙΚΗΣ",2111031464
mailto:info@focusproperties.gr,FOCUS PROPERTIES - ΒΑΦΕΙΑΔΟΥ ΠΙΑ,Κτηματομεσιτικό Γραφείο - Διαχείριση Ακίνητης Περιουσίας - Αγορές - Πωλήσεις – Ενοικιάσεις – Ανάθεση – Προώθηση Ακινήτων & Επαγγελματικών Ακινήτων – Γραφείων – Παραθαλάσσιες Βίλες - Golden Visa,"Αγίου Αλεξάνδρου 5, 2ος όροφος, Εμπορικό Κέντρο Φλοίσβος, Παλαιό Φάληρο, 17561, ΑΤΤΙΚΗΣ",2109888132
mailto:theakosi@otenet.gr,ΘΕΑΚΟΣ ΙΩΑΝΝΗΣ,Μεσιτικό Γραφείο – Real Estate,"Σόλωνος 46, Χαλάνδρι, 15232, ΑΤΤΙΚΗΣ",2106834501
mailto:info@royalty-estate.gr,ROYALTY ESTATE,Πωλήσεις - Μισθώσεις Αστικών & Επαγγελματικών Ακινήτων - Οικόπεδα - Ακίνητα Απόδοσης -Επενδυτικά - Επιπλωμένα - Διαχείριση Ακίνητης Περιουσίας - Νομική & Συμβολαιογραφική Υποστήριξη – Μελέτες - Τακτοποιήσεις - Βεβαιώσεις - Εκτιμήσεις Ακινήτων - Σύμβουλοι Ακινήτων - Real Estate - Μεσιτικές Υπηρεσίες,"Λεωφόρος Ειρήνης 1, Πεύκη, 15121, ΑΤΤΙΚΗΣ",2110159726
mailto:info@greekproperty.gr,ΓΙΑΝΝΑΚΟΠΟΥΛΟΣ ΧΡΗΣΤΟΣ & ΣΙΑ Ο.Ε.,Μεσίτης Αστικών Συμβάσεων - Μεσιτικό Γραφείο - Εκτιμητής Ακίνητης Περιουσίας - Επενδυτικός Σύμβουλος Ακινήτων - Διαμεσολαβήσεις Αγοροπωλησίας - Real Estate,"Βασιλέως Κωνσταντίνου 105 & Σιστοπούλου 2, Βάρη, 16672, ΑΤΤΙΚΗΣ",2108973205
https://www.vrisko.gr/email/emailCompany/1/_jb6a2_b031b4_7fb061343d167545ca/FreeListing,TERRA CASA (Φερεκίδης Ιωάννης Γ.),Κτηματομεσιτικό Γραφείο,"Δουκίσσης Πλακεντίας 59, Αθήνα - Αμπελόκηποι, 11523, ΑΤΤΙΚΗΣ
Δες στον χάρτη",2106983332
https://www.vrisko.gr/email/emailCompany/1/b465ad076bb560abag1e5435bcbb6j03/FreeListing,ΠΛΟΥΜΗΣ ΣΩΤΗΡΟΠΟΥΛΟΣ ΟΕ,Μεσιτικό Γραφείο,"Βενιζέλου Ελευθερίου 6, Αθήνα, 10671, ΑΤΤΙΚΗΣ
Δες στον χάρτη",2103643112
https://www.vrisko.gr/email/emailCompany/1/5h1e145i_j6dab340_b07h26012h2_72/FreeListing,IDIRECT,Μεσίτες Ασφαλίσεων,"Πάτση Σπύρου 58-60, Αθήνα - Βοτανικός, 11855, ΑΤΤΙΚΗΣ
Δες στον χάρτη",2106422225
https://www.vrisko.gr/email/emailCompany/1/6554745c3i_h733c7c475i16bb74c6a7/FreeListing,INFOCASA (Σπηλιωτόπουλος Θεοφάνης Σ.),Μεσιτικό Γραφείο,"Ξενοκράτους 41, Αθήνα - Κολωνάκι, 10676, ΑΤΤΙΚΗΣ
Δες στον χάρτη",2107255653
https://www.vrisko.gr/email/emailCompany/1/31b3_7bjcb_55i2ac3d_74_hd04h0bd7/FreeListing,MAKRIS REAL ESTATE (Μακρής Βασίλειος Η.),Μεσιτικό Γραφείο,"Καποδιστρίου 38, Αθήνα, 10432, ΑΤΤΙΚΗΣ
Δες στον χάρτη",2105200040
https://www.vrisko.gr/email/emailCompany/1/0i2k_0ad1g362d532ibf1ede6e1_d603/FreeListing,INSURANCE MARKET - MONEY MARKET AE,Μεσίτες Ασφαλίσεων,"Αγίου Δημητρίου 4, Αθήνα - Μοναστηράκι, 10554, ΑΤΤΙΚΗΣ
Δες στον χάρτη",2103245000
https://www.vrisko.gr/email/emailCompany/1/d_72ch2a2c715070cgcc6f1ibjd01g34/FreeListing,G - EPSILON MANAGEMENT - ΕΠΙΤΡΟΠΑΚΗΣ Γ Ι ΚΑΙ ΣΙΑ ΕΕ,Διαχείριση Ακίνητης Περιουσίας Τρίτων,"Λεωφόρος Αλεξάνδρας 8, Αθήνα, 10682, ΑΤΤΙΚΗΣ
Δες στον χάρτη",2108843176
https://www.vrisko.gr/email/emailCompany/1/443a6i2d5_43012k156g0_5bac1i6b23/FreeListing,IMMOCONSULT ΟΕ,Διαχείριση Ακίνητης Περιουσίας,"Αγίου Μελετίου 167, Αθήνα, 10445, ΑΤΤΙΚΗΣ
Δες στον χάρτη",2108072957
https://www.vrisko.gr/email/emailCompany/1/b730161g52b3de740c67210f23_d2jd_/FreeListing,ΦΟΥΚΗΣ - Ρ Ζ Μ ΒΑΓΚΝΕΡ ΜΟΝΟΠΡΟΣΩΠΗ ΕΠΕ,Κτηματομεσιτικό Γραφείο,"Κάνιγγος 32 & Σολωμού Διονυσίου, Αθήνα, 10682, ΑΤΤΙΚΗΣ
Δες στον χάρτη",2103306333
https://www.vrisko.gr/email/emailCompany/1/_6000j330i22333c2f43b2231g_ace4b/FreeListing,ΑΦΟΙ ΣΩΤΗΡΟΠΟΥΛΟΙ ΚΤΗΜΑΤΟΜΕΣΙΤΙΚΗ ΕΠΕ,Κτηματομεσιτικό Γραφείο,"Παπαδιαμαντοπούλου 24Γ, Αθήνα - Ιλίσια, 11528, ΑΤΤΙΚΗΣ
Δες στον χάρτη",2107470111
https://www.vrisko.gr/email/emailCompany/1/7a724546bb1b4fc26d65c6bca62hcf1_/FreeListing,SAEMENS - ΣΤΥΛΙΑΝΟΣ ΤΣΙΦΤΣΗΣ ΚΑΙ ΣΙΑ ΕΕ,Μεσίτες Ασφαλίσεων,"3ης Σεπτεμβρίου 56, Αθήνα, 10433, ΑΤΤΙΚΗΣ
Δες στον χάρτη",2108834101
https://www.vrisko.gr/email/emailCompany/1/165f7i6c_45_4k75133iajcf203e_jba/FreeListing,KAMPRAS ESTATE (Κάμπρας Παναγιώτης Ε.),Μεσιτικό Γραφείο,"Παράσχου Α. 104, Αθήνα - Γκύζη, 11475, ΑΤΤΙΚΗΣ
Δες στον χάρτη",2106462100
